"","B1","P1","P4","S1","S2","S5"
"LC08_CU_007013_20160525_20171018_C01_V01_SRAEROSOLQA",80,68,68,8,32,8
"LC08_CU_007013_20160525_20171018_C01_V01_SRB1",687.5,505.666666666667,606.5,883.333333333333,976.666666666667,883
"LC08_CU_007013_20160525_20171018_C01_V01_SRB2",725.5,507.666666666667,611.5,975,1093.33333333333,974.5
"LC08_CU_007013_20160525_20171018_C01_V01_SRB3",849,478.333333333333,596.5,1085,1255.33333333333,1102
"LC08_CU_007013_20160525_20171018_C01_V01_SRB4",728,383,500.5,1104.66666666667,1247.33333333333,1107
"LC08_CU_007013_20160525_20171018_C01_V01_SRB5",674.5,329,460.5,1138,1287.66666666667,1144
"LC08_CU_007013_20160525_20171018_C01_V01_SRB6",599,274.333333333333,418,1068.33333333333,1241.33333333333,1079
"LC08_CU_007013_20160525_20171018_C01_V01_SRB7",512.5,228,353,932,1075.66666666667,941
"LC08_CU_007013_20160603_20171018_C01_V01_LINEAGEQA",2,NA,NA,2,2,2
"LC08_CU_007013_20160603_20171018_C01_V01_PIXELQA",324,NA,NA,324,324,324
"LC08_CU_007013_20160603_20171018_C01_V01_RADSATQA",0,NA,NA,0,0,0
"LC08_CU_007013_20160603_20171018_C01_V01_SRAEROSOLQA",68,NA,NA,68,68,68
"LC08_CU_007013_20160603_20171018_C01_V01_SRB1",365.5,NA,NA,280.666666666667,317.333333333333,295
"LC08_CU_007013_20160603_20171018_C01_V01_SRB2",403,NA,NA,278,322.666666666667,284
"LC08_CU_007013_20160603_20171018_C01_V01_SRB3",529.5,NA,NA,259.666666666667,330.333333333333,274
"LC08_CU_007013_20160603_20171018_C01_V01_SRB4",276,NA,NA,163.666666666667,205.333333333333,171
"LC08_CU_007013_20160603_20171018_C01_V01_SRB5",137.5,NA,NA,113,153,117.5
"LC08_CU_007013_20160603_20171018_C01_V01_SRB6",72.5,NA,NA,77,133.666666666667,85
"LC08_CU_007013_20160603_20171018_C01_V01_SRB7",53,NA,NA,62.6666666666667,117.666666666667,65
"LC08_CU_007013_20160619_20171020_C01_V01_LINEAGEQA",2,NA,NA,2,2,2
"LC08_CU_007013_20160619_20171020_C01_V01_PIXELQA",324,NA,NA,324,324,324
"LC08_CU_007013_20160619_20171020_C01_V01_RADSATQA",0,NA,NA,0,0,0
"LC08_CU_007013_20160619_20171020_C01_V01_SRAEROSOLQA",68,NA,NA,68,68,68
"LC08_CU_007013_20160619_20171020_C01_V01_SRB1",273.5,NA,NA,277.666666666667,313,281.5
"LC08_CU_007013_20160619_20171020_C01_V01_SRB2",290,NA,NA,273.333333333333,309.333333333333,274
"LC08_CU_007013_20160619_20171020_C01_V01_SRB3",387.5,NA,NA,257.666666666667,322.333333333333,261
"LC08_CU_007013_20160619_20171020_C01_V01_SRB4",174.5,NA,NA,141.666666666667,196,146.5
"LC08_CU_007013_20160619_20171020_C01_V01_SRB5",61.5,NA,NA,78.3333333333333,136.333333333333,81
"LC08_CU_007013_20160619_20171020_C01_V01_SRB6",35.5,NA,NA,50,124.333333333333,54.5
"LC08_CU_007013_20160619_20171020_C01_V01_SRB7",26.5,NA,NA,41,113.666666666667,45.5
"LC08_CU_007013_20160705_20171018_C01_V01_LINEAGEQA",2,NA,NA,2,2,2
"LC08_CU_007013_20160705_20171018_C01_V01_PIXELQA",324,NA,NA,324,324,324
"LC08_CU_007013_20160705_20171018_C01_V01_RADSATQA",0,NA,NA,0,0,0
"LC08_CU_007013_20160705_20171018_C01_V01_SRAEROSOLQA",68,NA,NA,68,68,68
"LC08_CU_007013_20160705_20171018_C01_V01_SRB1",294,NA,NA,250.666666666667,296,262
"LC08_CU_007013_20160705_20171018_C01_V01_SRB2",303.5,NA,NA,247.333333333333,299.666666666667,268
"LC08_CU_007013_20160705_20171018_C01_V01_SRB3",484,NA,NA,299.333333333333,362,318
"LC08_CU_007013_20160705_20171018_C01_V01_SRB4",231,NA,NA,133.333333333333,201.333333333333,150.5
"LC08_CU_007013_20160705_20171018_C01_V01_SRB5",96,NA,NA,57,122,75.5
"LC08_CU_007013_20160705_20171018_C01_V01_SRB6",71,NA,NA,41.3333333333333,127.666666666667,62
"LC08_CU_007013_20160705_20171018_C01_V01_SRB7",60,NA,NA,38.3333333333333,114.333333333333,52
"LC08_CU_007013_20160712_20171018_C01_V01_LINEAGEQA",1,1,1,2,2,2
"LC08_CU_007013_20160712_20171018_C01_V01_PIXELQA",324,324,324,322,324,324
"LC08_CU_007013_20160712_20171018_C01_V01_RADSATQA",0,0,0,0,0,0
"LC08_CU_007013_20160712_20171018_C01_V01_SRAEROSOLQA",68,68,68,68,68,68
"LC08_CU_007013_20160712_20171018_C01_V01_SRB1",585,543.333333333333,300.5,964.333333333333,447,550.5
"LC08_CU_007013_20160712_20171018_C01_V01_SRB2",599,556,299.5,1077.33333333333,527.666666666667,640
"LC08_CU_007013_20160712_20171018_C01_V01_SRB3",770.5,511.666666666667,228.5,1287,707.333333333333,839.5
"LC08_CU_007013_20160712_20171018_C01_V01_SRB4",592.5,385.666666666667,74,1171.33333333333,553.333333333333,685.5
"LC08_CU_007013_20160712_20171018_C01_V01_SRB5",487.5,336.666666666667,23.5,1103.33333333333,484.333333333333,618.5
"LC08_CU_007013_20160712_20171018_C01_V01_SRB6",441.5,303.333333333333,20.5,1037.33333333333,490,586
"LC08_CU_007013_20160712_20171018_C01_V01_SRB7",377.5,265,19,898.333333333333,424.666666666667,508.5
"LC08_CU_007013_20160721_20171018_C01_V01_LINEAGEQA",2,NA,NA,2,2,2
"LC08_CU_007013_20160721_20171018_C01_V01_PIXELQA",324,NA,NA,324,324,324
"LC08_CU_007013_20160721_20171018_C01_V01_RADSATQA",0,NA,NA,0,0,0
"LC08_CU_007013_20160721_20171018_C01_V01_SRAEROSOLQA",68,NA,NA,68,68,68
"LC08_CU_007013_20160721_20171018_C01_V01_SRB1",236,NA,NA,247.333333333333,278,248
"LC08_CU_007013_20160721_20171018_C01_V01_SRB2",238.5,NA,NA,241.666666666667,278.666666666667,245.5
"LC08_CU_007013_20160721_20171018_C01_V01_SRB3",381,NA,NA,380.333333333333,408,376.5
"LC08_CU_007013_20160721_20171018_C01_V01_SRB4",188,NA,NA,188.666666666667,232,188.5
"LC08_CU_007013_20160721_20171018_C01_V01_SRB5",67,NA,NA,79.3333333333333,128.333333333333,79
"LC08_CU_007013_20160721_20171018_C01_V01_SRB6",48.5,NA,NA,59.6666666666667,119,63.5
"LC08_CU_007013_20160721_20171018_C01_V01_SRB7",36.5,NA,NA,50,103.666666666667,52.5
"LC08_CU_007013_20160829_20171018_C01_V01_LINEAGEQA",1,1,1,2,2,2
"LC08_CU_007013_20160829_20171018_C01_V01_PIXELQA",324,324,324,324,324,324
"LC08_CU_007013_20160829_20171018_C01_V01_RADSATQA",0,0,0,0,0,0
"LC08_CU_007013_20160829_20171018_C01_V01_SRAEROSOLQA",68,68,68,68,68,68
"LC08_CU_007013_20160829_20171018_C01_V01_SRB1",219.5,376.666666666667,335.5,127.333333333333,331.666666666667,291.5
"LC08_CU_007013_20160829_20171018_C01_V01_SRB2",207.5,376.333333333333,327.5,166.666666666667,381.333333333333,332.5
"LC08_CU_007013_20160829_20171018_C01_V01_SRB3",299,349.666666666667,309,269.333333333333,508,454
"LC08_CU_007013_20160829_20171018_C01_V01_SRB4",146.5,188.666666666667,139,175.333333333333,420.333333333333,369
"LC08_CU_007013_20160829_20171018_C01_V01_SRB5",37.5,130.666666666667,63.5,119,363,314.5
"LC08_CU_007013_20160829_20171018_C01_V01_SRB6",32,106.666666666667,47.5,120.333333333333,385.333333333333,305.5
"LC08_CU_007013_20160829_20171018_C01_V01_SRB7",32.5,91,44.5,105.666666666667,333.666666666667,264
"LC08_CU_007013_20160914_20171018_C01_V01_LINEAGEQA",1,1,1,2,2,2
"LC08_CU_007013_20160914_20171018_C01_V01_PIXELQA",324,324,324,324,324,324
"LC08_CU_007013_20160914_20171018_C01_V01_RADSATQA",0,0,0,0,0,0
"LC08_CU_007013_20160914_20171018_C01_V01_SRAEROSOLQA",68,68,68,68,68,68
"LC08_CU_007013_20160914_20171018_C01_V01_SRB1",247,291,323.5,146.333333333333,125.333333333333,81.5
"LC08_CU_007013_20160914_20171018_C01_V01_SRB2",238,280.333333333333,328.5,193.333333333333,164,117
"LC08_CU_007013_20160914_20171018_C01_V01_SRB3",296.5,251,303,306.333333333333,264.333333333333,230
"LC08_CU_007013_20160914_20171018_C01_V01_SRB4",156.5,113,152.5,218.333333333333,189.333333333333,139.5
"LC08_CU_007013_20160914_20171018_C01_V01_SRB5",82,53.3333333333333,92,165.333333333333,137.666666666667,78
