"","Site","Sat","LINEAGEQA","PIXELQA","RADSATQA","SRAEROSOLQA","SRATMOSOPACITYQA","SRB1","SRB2","SRB3","SRB4","SRB5","SRB6","SRB7","SRCLOUDQA","SatDate","Chlorophyll","TSS","SampleDate","DayDif"
"81","S1",8,2,324,0,68,NA,330,342.666666666667,260.333333333333,249.333333333333,205,205,168.333333333333,NA,2017-04-03,6.9,2.36,2017-04-04,1
"82","S1",7,2,68,0,NA,8,431,487.666666666667,417.333333333333,374.333333333333,284,NA,227,40,2017-05-04,4.7775,4,2017-05-03,1
"83","S1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2017-06-05,15.2925,4.64,2017-06-02,3
"84","S1",8,2,324,0,68,NA,232.666666666667,346.333333333333,229,155,130,130,106,NA,2017-07-15,19.7325,4.166666667,2017-07-15,0
"85","S1",7,2,224,2,NA,84,20000,3303.33333333333,3584,4205.33333333333,3864,NA,3362,2,2017-08-01,36.73333333,5.666666667,2017-08-04,3
"86","S1",7,2,68,0,NA,28,421.666666666667,436,343.666666666667,276.666666666667,124.666666666667,NA,76.6666666666667,40,2017-09-02,33.395,5.25,2017-09-05,3
"87","S1",7,2,68,0,NA,9,273.666666666667,283,198.666666666667,168,73.3333333333333,NA,69,37.3333333333333,2017-10-04,25.755,4.48,2017-10-04,0
"88","S1",8,2,608,0,58.6666666666667,NA,933.666666666667,1179.33333333333,1280.33333333333,1720,1761.66666666667,1761.66666666667,1684,NA,2017-11-13,19.71875,0.846153846,2017-11-16,3
"89","S1",8,2,324,0,68,NA,236.666666666667,199.666666666667,130,67,39,39,29.3333333333333,NA,2017-12-15,2.639,1.283333333,2017-12-15,0
"90","S1",8,2,324,0,89.3333333333333,NA,184.666666666667,267.666666666667,250,303.333333333333,342.666666666667,342.666666666667,299.333333333333,NA,2018-01-07,3.3595,0.933333333,2018-01-04,3
"91","S1",8,2,324,0,68,NA,81,128.333333333333,72,46.6666666666667,54.6666666666667,54.6666666666667,42,NA,2018-02-24,1.114666667,2.383333333,2018-02-21,3
"92","S2",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2007-03-15,19.11892792,8.458333333,2007-03-08,7
"93","S2",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2007-03-15,25.44874097,7.973684211,2007-03-21,6
"94","S2",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2007-04-07,NA,7.454545455,2007-04-04,3
"95","S2",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2007-04-07,19.80538405,6.72,2007-04-10,3
"96","S2",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2007-04-16,24.79793943,6,2007-04-24,8
"97","S2",7,2,68,0,NA,51,542.333333333333,594.666666666667,538.666666666667,578.666666666667,521.333333333333,NA,456,2,2007-05-02,22.63527218,NA,2007-05-04,2
"98","S2",7,2,68,0,NA,8,293,430,318,262,207.666666666667,NA,157,36,2007-05-09,13.51106161,5.0390625,2007-05-09,0
"99","S2",7,2,68,0,NA,8,455.333333333333,630,541.666666666667,519.666666666667,436,NA,376,40,2007-05-25,8.417079137,5.3,2007-05-23,2
"100","S2",7,2,68,0,NA,10,424,510,386.666666666667,319.666666666667,208,NA,157,40,2007-06-03,10.28373512,3.725,2007-06-05,2
"101","S2",7,2,68,0,NA,8,344.666666666667,603,401.333333333333,235,140.333333333333,NA,117,40,2007-07-12,18.51658076,8.833333333,2007-07-10,2
"102","S2",7,2,68,0,NA,54,344.333333333333,418,293,255.333333333333,167.666666666667,NA,146.333333333333,40,2007-08-22,18.68882768,7.45,2007-08-08,14
"103","S2",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2007-08-29,10.23022888,3.366666667,2007-09-11,13
