"","B1","P1","P4","S1","S2","S5"
"LE07_CU_007013_20070525_20170923_C01_V01_SRB2",782.5,504.333333333333,455,NA,630,639
"LE07_CU_007013_20070525_20170923_C01_V01_SRB3",625.5,352.666666666667,298.5,NA,541.666666666667,529
"LE07_CU_007013_20070525_20170923_C01_V01_SRB4",648,294,225,NA,519.666666666667,462
"LE07_CU_007013_20070525_20170923_C01_V01_SRB5",593.5,228,164,NA,436,383.5
"LE07_CU_007013_20070525_20170923_C01_V01_SRB7",490.5,148.666666666667,116.5,NA,376,309
"LE07_CU_007013_20070525_20170923_C01_V01_SRCLOUDQA",2,36,32,0,40,40
"LE07_CU_007013_20070603_20170923_C01_V01_LINEAGEQA",2,NA,NA,2,2,2
"LE07_CU_007013_20070603_20170923_C01_V01_PIXELQA",68,NA,NA,68,68,68
"LE07_CU_007013_20070603_20170923_C01_V01_RADSATQA",0,NA,NA,0,0,0
"LE07_CU_007013_20070603_20170923_C01_V01_SRATMOSOPACITYQA",45,NA,NA,10,10,10
"LE07_CU_007013_20070603_20170923_C01_V01_SRB1",465,NA,NA,412.666666666667,424,415
"LE07_CU_007013_20070603_20170923_C01_V01_SRB2",450.5,NA,NA,448,510,462
"LE07_CU_007013_20070603_20170923_C01_V01_SRB3",281,NA,NA,337.333333333333,386.666666666667,353.5
"LE07_CU_007013_20070603_20170923_C01_V01_SRB4",253,NA,NA,275.333333333333,319.666666666667,280
"LE07_CU_007013_20070603_20170923_C01_V01_SRB5",151.5,NA,NA,187,208,166
"LE07_CU_007013_20070603_20170923_C01_V01_SRB7",105,NA,NA,149.666666666667,157,107
"LE07_CU_007013_20070603_20170923_C01_V01_SRCLOUDQA",36,0,0,40,40,40
"LE07_CU_007013_20070619_20170923_C01_V01_LINEAGEQA",NA,NA,NA,2,2,2
"LE07_CU_007013_20070619_20170923_C01_V01_PIXELQA",NA,NA,NA,68,68,68
"LE07_CU_007013_20070619_20170923_C01_V01_RADSATQA",NA,NA,NA,0,0,0
"LE07_CU_007013_20070619_20170923_C01_V01_SRATMOSOPACITYQA",NA,NA,NA,8,8,8
"LE07_CU_007013_20070619_20170923_C01_V01_SRB1",NA,NA,NA,370.333333333333,371.333333333333,354
"LE07_CU_007013_20070619_20170923_C01_V01_SRB2",NA,NA,NA,589.666666666667,580,598
"LE07_CU_007013_20070619_20170923_C01_V01_SRB3",NA,NA,NA,388.666666666667,386.666666666667,366
"LE07_CU_007013_20070619_20170923_C01_V01_SRB4",NA,NA,NA,195,228,194
"LE07_CU_007013_20070619_20170923_C01_V01_SRB5",NA,NA,NA,130.666666666667,137,103
"LE07_CU_007013_20070619_20170923_C01_V01_SRB7",NA,NA,NA,99.3333333333333,92,63.5
"LE07_CU_007013_20070619_20170923_C01_V01_SRCLOUDQA",0,0,0,40,40,40
"LE07_CU_007013_20070626_20170923_C01_V01_LINEAGEQA",1,1,1,2,2,2
"LE07_CU_007013_20070626_20170923_C01_V01_PIXELQA",68,68,68,68,68,68
"LE07_CU_007013_20070626_20170923_C01_V01_RADSATQA",0,0,0,0,0,0
"LE07_CU_007013_20070626_20170923_C01_V01_SRATMOSOPACITYQA",9,8,8,8,9,9
"LE07_CU_007013_20070626_20170923_C01_V01_SRB1",400.5,297.666666666667,292.5,334,439.333333333333,357
"LE07_CU_007013_20070626_20170923_C01_V01_SRB2",549,284.333333333333,261,582,689,595.5
"LE07_CU_007013_20070626_20170923_C01_V01_SRB3",287,172,148,389.5,506.666666666667,379
"LE07_CU_007013_20070626_20170923_C01_V01_SRB4",144,136.333333333333,125,230,367.333333333333,229
"LE07_CU_007013_20070626_20170923_C01_V01_SRB5",102,74,70.5,134,279.333333333333,133.5
"LE07_CU_007013_20070626_20170923_C01_V01_SRB7",63.5,63.6666666666667,64,97,230.666666666667,86
"LE07_CU_007013_20070626_20170923_C01_V01_SRCLOUDQA",32,36,32,24,40,40
"LE07_CU_007013_20070712_20170923_C01_V01_LINEAGEQA",1,1,1,NA,2,2
"LE07_CU_007013_20070712_20170923_C01_V01_PIXELQA",68,68,68,NA,68,68
"LE07_CU_007013_20070712_20170923_C01_V01_RADSATQA",0,0,0,NA,0,0
"LE07_CU_007013_20070712_20170923_C01_V01_SRATMOSOPACITYQA",8,8,8,NA,8,8
"LE07_CU_007013_20070712_20170923_C01_V01_SRB1",425.5,554.666666666667,351,NA,344.666666666667,351
"LE07_CU_007013_20070712_20170923_C01_V01_SRB2",531.5,562.666666666667,310.5,NA,603,604.5
"LE07_CU_007013_20070712_20170923_C01_V01_SRB3",382.5,461.333333333333,175,NA,401.333333333333,401.5
"LE07_CU_007013_20070712_20170923_C01_V01_SRB4",289.5,388.333333333333,165,NA,235,218.5
"LE07_CU_007013_20070712_20170923_C01_V01_SRB5",233,328.333333333333,72,NA,140.333333333333,114.5
"LE07_CU_007013_20070712_20170923_C01_V01_SRB7",198.5,281,54.5,NA,117,87
"LE07_CU_007013_20070712_20170923_C01_V01_SRCLOUDQA",32,36,32,0,40,40
"LE07_CU_007013_20070721_20170923_C01_V01_LINEAGEQA",2,NA,NA,2,2,2
"LE07_CU_007013_20070721_20170923_C01_V01_PIXELQA",224,NA,NA,68,68,68
"LE07_CU_007013_20070721_20170923_C01_V01_RADSATQA",0,NA,NA,0,0,0
"LE07_CU_007013_20070721_20170923_C01_V01_SRATMOSOPACITYQA",9,NA,NA,29,28,28
"LE07_CU_007013_20070721_20170923_C01_V01_SRB1",751,NA,NA,509.666666666667,510.666666666667,512
"LE07_CU_007013_20070721_20170923_C01_V01_SRB2",784,NA,NA,625,663,621.5
"LE07_CU_007013_20070721_20170923_C01_V01_SRB3",705.5,NA,NA,455.333333333333,519.666666666667,467
"LE07_CU_007013_20070721_20170923_C01_V01_SRB4",681,NA,NA,325,408.666666666667,348
"LE07_CU_007013_20070721_20170923_C01_V01_SRB5",572.5,NA,NA,245.666666666667,305,238
"LE07_CU_007013_20070721_20170923_C01_V01_SRB7",460,NA,NA,175.333333333333,212.666666666667,136
"LE07_CU_007013_20070721_20170923_C01_V01_SRCLOUDQA",40,0,0,32,40,32
"LE07_CU_007013_20070822_20170923_C01_V01_LINEAGEQA",NA,NA,NA,2,2,2
"LE07_CU_007013_20070822_20170923_C01_V01_PIXELQA",NA,NA,NA,68,68,68
"LE07_CU_007013_20070822_20170923_C01_V01_RADSATQA",NA,NA,NA,0,0,0
"LE07_CU_007013_20070822_20170923_C01_V01_SRATMOSOPACITYQA",NA,NA,NA,53,54,53
"LE07_CU_007013_20070822_20170923_C01_V01_SRB1",NA,NA,NA,341.666666666667,344.333333333333,377.5
"LE07_CU_007013_20070822_20170923_C01_V01_SRB2",NA,NA,NA,363.666666666667,418,366
"LE07_CU_007013_20070822_20170923_C01_V01_SRB3",NA,NA,NA,237.666666666667,293,262
"LE07_CU_007013_20070822_20170923_C01_V01_SRB4",NA,NA,NA,180.666666666667,255.333333333333,205
"LE07_CU_007013_20070822_20170923_C01_V01_SRB5",NA,NA,NA,129,167.666666666667,117.5
"LE07_CU_007013_20070822_20170923_C01_V01_SRB7",NA,NA,NA,91.3333333333333,146.333333333333,79.5
"LE07_CU_007013_20070822_20170923_C01_V01_SRCLOUDQA",0,0,0,40,40,40
"LE07_CU_007013_20070829_20170923_C01_V01_LINEAGEQA",1,1,1,NA,NA,2
"LE07_CU_007013_20070829_20170923_C01_V01_PIXELQA",68,68,68,NA,NA,68
"LE07_CU_007013_20070829_20170923_C01_V01_RADSATQA",0,0,0,NA,NA,0
"LE07_CU_007013_20070829_20170923_C01_V01_SRATMOSOPACITYQA",9,17,14,NA,NA,8
"LE07_CU_007013_20070829_20170923_C01_V01_SRB1",233,415.333333333333,379,NA,NA,390
"LE07_CU_007013_20070829_20170923_C01_V01_SRB2",285.5,407.333333333333,391.5,NA,NA,480
"LE07_CU_007013_20070829_20170923_C01_V01_SRB3",177.5,266,224.5,NA,NA,373
"LE07_CU_007013_20070829_20170923_C01_V01_SRB4",146,219,181,NA,NA,335
